Período,Fecha de nacimiento,Sexo,NivelFormativo,Discapacidad,Inmigrante,Perceptor,DificilInsercion,Tipo acción,Colocacion,FechaColocacion,FechaFinContrato,TipoContrato,,
04/21,17/03/1997,Hombre,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
04/21,18/10/1984,Mujer,Estudios secundarios,N,N,N,S,Alta,N,,,,,
04/21,18/10/1984,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
04/21,10/10/1974,Mujer,Estudios post-secundarios,N,N,S,S,Alta,N,,,,,
04/21,18/07/1968,Mujer,Estudios post-secundarios,S,N,N,S,Alta,N,,,,,
04/21,26/11/1969,Hombre,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
04/21,21/04/1974,Mujer,Estudios post-secundarios,N,N,S,S,Alta,N,,,,,
04/21,21/04/1974,Mujer,Estudios post-secundarios,N,N,S,S,Intento colocación,N,,,,,
04/21,14/10/1984,Mujer,Estudios secundarios,N,N,S,S,Alta,N,,,,,
04/21,14/10/1984,Mujer,Estudios secundarios,N,N,S,S,Intento colocación,N,,,,,
04/21,09/05/1968,Mujer,Estudios post-secundarios,S,N,S,S,Alta,N,,,,,
04/21,09/05/1968,Mujer,Estudios post-secundarios,S,N,S,S,Intento colocación,N,,,,,
04/21,14/10/1992,Hombre,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
04/21,01/09/1998,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
04/21,03/05/1970,Mujer,Estudios secundarios,N,N,S,S,Alta,N,,,,,
04/21,17/03/1996,Hombre,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
04/21,23/01/1992,Hombre,Estudios secundarios,N,N,S,S,Alta,N,,,,,
04/21,07/05/1982,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
04/21,07/05/1982,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
04/21,11/06/1988,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
04/21,24/05/1984,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
04/21,15/02/1996,Mujer,Estudios post-secundarios,N,N,S,S,Alta,N,,,,,
04/21,26/12/1990,Mujer,Estudios secundarios,N,S,S,S,Alta,N,,,,,
04/21,26/12/1990,Mujer,Estudios secundarios,N,S,S,S,Intento colocación,N,,,,,
04/21,17/09/1965,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
04/21,20/01/1980,Hombre,Estudios post-secundarios,N,N,N,N,Alta,N,,,,,
04/21,08/02/1970,Hombre,Estudios secundarios,S,N,N,S,Alta,N,,,,,
04/21,24/05/1983,Mujer,Estudios post-secundarios,N,N,S,S,Alta,N,,,,,
04/21,31/07/1991,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
04/21,21/03/1989,Mujer,Estudios secundarios,N,S,N,S,Alta,N,,,,,
04/21,07/11/1979,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
04/21,21/10/1965,Hombre,Estudios secundarios,N,N,N,S,Alta,N,,,,,
04/21,21/10/1965,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
04/21,21/05/1964,Hombre,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
04/21,01/01/1973,Hombre,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
04/21,25/02/1992,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
04/21,15/03/1996,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
04/21,03/05/1979,Hombre,Estudios secundarios,N,N,S,N,Alta,N,,,,,
04/21,05/08/1966,Mujer,Estudios secundarios,N,N,S,S,Alta,N,,,,,
04/21,06/03/1955,Hombre,Estudios secundarios,N,N,N,S,Alta,N,,,,,
04/21,25/12/1985,Hombre,Estudios secundarios,N,N,N,N,Alta,N,,,,,
04/21,14/02/1995,Hombre,Estudios secundarios,N,N,N,S,Alta,N,,,,,
04/21,14/02/1995,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
04/21,24/09/1962,Hombre,Estudios secundarios,N,N,N,S,Alta,N,,,,,
04/21,24/09/1962,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
04/21,29/12/1973,Hombre,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
04/21,23/09/1988,Mujer,Estudios secundarios,N,S,N,S,Alta,N,,,,,
04/21,23/09/1988,Mujer,Estudios secundarios,N,S,N,S,Intento colocación,N,,,,,
04/21,11/12/1965,Mujer,Estudios post-secundarios,N,N,S,S,Alta,N,,,,,
04/21,11/01/1968,Hombre,Estudios secundarios,N,N,N,S,Alta,N,,,,,
04/21,05/03/1971,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
04/21,09/05/1969,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
04/21,30/07/1976,Hombre,Estudios secundarios,N,N,S,N,Alta,N,,,,,
04/21,29/08/1984,Mujer,Estudios post-secundarios,N,N,S,S,Alta,N,,,,,
04/21,07/02/1998,Hombre,Estudios secundarios,N,S,N,S,Alta,N,,,,,
04/21,31/08/1989,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
04/21,07/05/2000,Hombre,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
04/21,11/01/1972,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
04/21,28/04/1965,Mujer,Estudios post-secundarios,N,N,S,S,Alta,N,,,,,
04/21,09/02/1989,Hombre,Estudios post-secundarios,N,N,N,N,Alta,N,,,,,
04/21,23/04/1978,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
04/21,09/12/1979,Hombre,Estudios post-secundarios,N,N,S,N,Colocación,S,20210428,,Contrato de duración determinada a tiempo completo,A28892339,"SEROMAL, S.A."
04/21,09/12/1979,Hombre,Estudios post-secundarios,N,N,S,N,Alta,N,,,,,
04/21,22/01/1980,Hombre,Estudios post-secundarios,N,S,N,S,Alta,N,,,,,
04/21,22/01/1980,Hombre,Estudios post-secundarios,N,S,N,S,Intento colocación,N,,,,,
04/21,29/11/1979,Mujer,Estudios secundarios,N,N,N,S,Alta,N,,,,,
04/21,07/12/1997,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
04/21,21/10/1967,Hombre,Estudios primarios,N,N,S,S,Alta,N,,,,,
04/21,17/01/1969,Mujer,Estudios primarios,N,N,S,S,Alta,N,,,,,
04/21,29/01/1987,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
04/21,29/01/1987,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
04/21,27/04/1960,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
04/21,30/06/1997,Hombre,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
04/21,27/05/1994,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
04/21,23/09/1968,Hombre,Estudios post-secundarios,N,N,S,S,Alta,N,,,,,
04/21,23/09/1968,Hombre,Estudios post-secundarios,N,N,S,S,Intento colocación,N,,,,,
04/21,04/06/1971,Mujer,Estudios secundarios,N,N,N,S,Alta,N,,,,,
04/21,05/12/1987,Hombre,Estudios primarios,N,S,N,S,Alta,N,,,,,
04/21,18/09/1998,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
04/21,08/01/1999,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
04/21,08/09/1990,Hombre,Estudios secundarios,N,N,N,S,Alta,N,,,,,
04/21,05/02/1978,Mujer,Estudios post-secundarios,N,N,S,S,Alta,N,,,,,
04/21,31/10/1981,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
04/21,09/05/1994,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
04/21,09/05/1994,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
04/21,18/03/2000,Hombre,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
04/21,07/09/1993,Hombre,Estudios secundarios,N,N,N,S,Alta,N,,,,,
04/21,07/09/1993,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
04/21,13/04/1984,Mujer,Estudios post-secundarios,N,N,S,S,Alta,N,,,,,
04/21,13/04/1984,Mujer,Estudios post-secundarios,N,N,S,S,Intento colocación,N,,,,,
04/21,04/05/1979,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
04/21,04/05/1979,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
04/21,19/01/1992,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
04/21,08/04/1968,Hombre,Estudios secundarios,N,N,N,S,Alta,N,,,,,
04/21,14/10/1987,Hombre,Estudios primarios,N,N,N,N,Alta,N,,,,,
04/21,14/10/1987,Hombre,Estudios primarios,N,N,N,N,Intento colocación,N,,,,,
04/21,27/10/1971,Hombre,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
04/21,08/12/1968,Hombre,Estudios primarios,N,N,S,S,Alta,N,,,,,
04/21,16/03/1993,Hombre,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
04/21,23/10/1994,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
04/21,01/10/1989,Mujer,Estudios secundarios,N,N,N,S,Alta,N,,,,,
04/21,20/10/1992,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
04/21,04/01/1981,Mujer,Estudios post-secundarios,S,N,S,S,Alta,N,,,,,
04/21,29/12/1973,Hombre,Estudios primarios,N,N,S,S,Colocación,S,20210429,,Contrato de duración determinada a tiempo completo,A28892339,"SEROMAL, S.A."
04/21,29/12/1973,Hombre,Estudios primarios,N,N,S,S,Alta,N,,,,,
04/21,25/02/1993,Hombre,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
04/21,25/02/1993,Hombre,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
04/21,06/07/1962,Mujer,Estudios secundarios,N,N,S,S,Alta,N,,,,,
04/21,04/07/1982,Mujer,Estudios secundarios,N,N,N,S,Alta,N,,,,,
04/21,15/09/1973,Mujer,Estudios post-secundarios,N,N,S,S,Alta,N,,,,,
04/21,09/01/1972,Hombre,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
04/21,23/02/1971,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
04/21,31/10/1994,Hombre,Estudios post-secundarios,N,S,N,S,Alta,N,,,,,
04/21,31/10/1994,Hombre,Estudios post-secundarios,N,S,N,S,Intento colocación,N,,,,,
04/21,17/03/1967,Mujer,Estudios primarios,N,N,N,S,Alta,N,,,,,
04/21,03/02/1969,Mujer,Estudios secundarios,N,N,N,S,Alta,N,,,,,
04/21,20/05/1971,Mujer,Sin estudios,N,N,N,S,Alta,N,,,,,
04/21,19/06/1979,Mujer,Estudios post-secundarios,N,N,S,S,Alta,N,,,,,
04/21,05/11/1996,Hombre,Estudios post-secundarios,S,N,N,S,Alta,N,,,,,
04/21,11/07/1990,Mujer,Estudios secundarios,N,N,N,S,Alta,N,,,,,
04/21,24/09/1988,Hombre,Estudios secundarios,N,N,N,N,Alta,N,,,,,
04/21,07/10/1964,Mujer,Estudios primarios,N,N,N,S,Alta,N,,,,,
04/21,31/10/1980,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
04/21,31/10/1980,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
04/21,31/01/1998,Hombre,Estudios secundarios,N,N,N,S,Alta,N,,,,,
04/21,31/01/1998,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
04/21,13/09/1991,Mujer,Estudios post-secundarios,S,N,N,S,Alta,N,,,,,
04/21,13/09/1991,Mujer,Estudios post-secundarios,S,N,N,S,Intento colocación,N,,,,,
04/21,08/09/1969,Hombre,Estudios secundarios,N,N,S,S,Alta,N,,,,,
04/21,08/09/1969,Hombre,Estudios secundarios,N,N,S,S,Intento colocación,N,,,,,
04/21,26/08/1986,Hombre,Estudios post-secundarios,N,N,N,N,Alta,N,,,,,
04/21,14/03/1968,Mujer,Estudios post-secundarios,N,N,S,S,Alta,N,,,,,
04/21,20/12/1973,Mujer,Estudios post-secundarios,N,N,S,S,Alta,N,,,,,
04/21,25/06/1993,Hombre,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
04/21,23/11/1989,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
04/21,04/11/1958,Hombre,Estudios secundarios,N,N,N,S,Alta,N,,,,,
04/21,26/08/1973,Hombre,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
04/21,01/09/1988,Hombre,Estudios secundarios,N,N,S,N,Alta,N,,,,,
04/21,01/09/1988,Hombre,Estudios secundarios,N,N,S,N,Intento colocación,N,,,,,
04/21,20/04/2001,Mujer,Estudios secundarios,N,N,N,S,Alta,N,,,,,
04/21,20/04/2001,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
04/21,18/09/1988,Mujer,Estudios secundarios,N,S,N,S,Alta,N,,,,,
04/21,25/06/1994,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
04/21,31/08/2000,Mujer,Estudios secundarios,N,N,N,S,Alta,N,,,,,
04/21,12/06/1977,Hombre,Estudios secundarios,N,N,S,N,Alta,N,,,,,
04/21,12/06/1977,Hombre,Estudios secundarios,N,N,S,N,Intento colocación,N,,,,,
04/21,13/02/1994,Hombre,Estudios secundarios,N,N,S,S,Alta,N,,,,,
04/21,16/11/1978,Mujer,Estudios secundarios,N,N,S,S,Alta,N,,,,,
04/21,18/04/1968,Hombre,Estudios secundarios,N,N,N,S,Alta,N,,,,,
04/21,19/03/1967,Hombre,Estudios secundarios,N,S,N,S,Alta,N,,,,,
04/21,28/02/1975,Hombre,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
04/21,19/05/1963,Hombre,Estudios secundarios,N,N,S,S,Alta,N,,,,,
03/21,04/04/1965,Mujer,Estudios secundarios,N,N,N,S,Alta,N,,,,,
03/21,15/07/1979,Mujer,Estudios secundarios,N,N,N,S,Alta,N,,,,,
03/21,21/05/1966,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
03/21,01/04/1974,Hombre,Estudios post-secundarios,S,N,N,S,Intento colocación,N,,,,,
03/21,30/03/1961,Mujer,Estudios secundarios,N,N,N,S,Alta,N,,,,,
03/21,31/01/1963,Hombre,Estudios secundarios,S,N,S,S,Alta,N,,,,,
03/21,31/01/1963,Hombre,Estudios secundarios,S,N,S,S,Intento colocación,N,,,,,
03/21,12/06/1973,Hombre,Estudios secundarios,S,N,N,S,Intento colocación,N,,,,,
03/21,18/12/1975,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
03/21,10/06/1975,Hombre,Estudios secundarios,S,N,N,S,Alta,N,,,,,
03/21,10/12/1969,Hombre,Estudios secundarios,S,N,S,S,Intento colocación,N,,,,,
03/21,29/08/1976,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
03/21,25/01/1968,Mujer,Estudios post-secundarios,N,N,S,S,Alta,N,,,,,
03/21,23/06/1967,Hombre,Estudios secundarios,N,N,S,S,Colocación,S,,,,,
03/21,25/04/1958,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
03/21,29/01/1976,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
03/21,07/07/1965,Hombre,Estudios primarios,N,N,N,S,Alta,N,,,,,
03/21,21/09/1969,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
03/21,05/06/1973,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
03/21,03/03/1975,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
03/21,28/06/1978,Hombre,Estudios post-secundarios,S,N,N,S,Intento colocación,N,,,,,
03/21,22/06/1973,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
03/21,28/07/1968,Mujer,Estudios post-secundarios,S,N,N,S,Intento colocación,N,,,,,
03/21,27/04/1977,Hombre,Estudios primarios,N,N,S,N,Alta,N,,,,,
03/21,15/06/1976,Hombre,Estudios post-secundarios,N,N,N,N,Alta,N,,,,,
03/21,06/10/1979,Mujer,Estudios post-secundarios,N,N,S,S,Intento colocación,N,,,,,
03/21,10/09/1977,Hombre,Estudios post-secundarios,N,N,S,N,Intento colocación,N,,,,,
03/21,26/01/1968,Hombre,Estudios primarios,S,N,N,S,Alta,N,,,,,
03/21,28/02/1974,Hombre,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
03/21,01/06/1966,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
03/21,18/06/1965,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
03/21,30/07/1972,Mujer,Estudios post-secundarios,N,S,N,S,Alta,N,,,,,
03/21,03/07/1980,Hombre,Estudios post-secundarios,N,N,N,N,Intento colocación,N,,,,,
03/21,25/02/1970,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
03/21,20/09/1958,Mujer,Estudios secundarios,N,N,N,S,Alta,N,,,,,
03/21,02/11/1962,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
03/21,24/06/1975,Mujer,Estudios secundarios,N,N,N,S,Alta,N,,,,,
03/21,20/05/1974,Hombre,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
03/21,11/07/1960,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
03/21,18/10/1973,Mujer,Estudios secundarios,N,N,N,S,Alta,N,,,,,
03/21,03/04/1981,Mujer,Estudios primarios,N,N,N,S,Alta,N,,,,,
03/21,26/12/1969,Hombre,Estudios secundarios,S,N,N,S,Intento colocación,N,,,,,
03/21,07/05/1964,Mujer,Estudios primarios,S,N,N,S,Colocación,S,,,,,
03/21,31/05/1975,Hombre,Estudios secundarios,N,N,N,S,Alta,N,,,,,
03/21,25/10/1973,Hombre,Estudios secundarios,N,N,S,S,Alta,N,,,,,
03/21,14/05/1976,Hombre,Estudios secundarios,N,N,N,N,Intento colocación,N,,,,,
03/21,19/12/1976,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
03/21,07/07/1982,Mujer,Estudios secundarios,N,N,N,S,Alta,N,,,,,
03/21,14/09/1979,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
03/21,22/05/1981,Hombre,Estudios secundarios,N,N,N,N,Alta,N,,,,,
03/21,19/10/1979,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
03/21,24/10/1977,Hombre,Estudios primarios,N,N,N,N,Alta,N,,,,,
03/21,27/12/1969,Mujer,Estudios post-secundarios,N,N,S,S,Alta,N,,,,,
03/21,22/05/1983,Hombre,Estudios secundarios,N,N,N,N,Intento colocación,N,,,,,
03/21,19/02/1980,Hombre,Estudios post-secundarios,S,N,N,S,Alta,N,,,,,
03/21,15/01/1984,Hombre,Estudios secundarios,S,N,N,S,Intento colocación,N,,,,,
03/21,30/09/1967,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
03/21,23/04/1981,Hombre,Estudios primarios,N,N,N,N,Alta,N,,,,,
03/21,10/11/1979,Mujer,Estudios secundarios,N,S,N,S,Alta,N,,,,,
03/21,20/12/1981,Hombre,Estudios secundarios,N,N,N,N,Intento colocación,N,,,,,
03/21,31/05/1972,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
03/21,04/09/1967,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
03/21,12/11/1970,Mujer,Estudios secundarios,N,N,N,S,Alta,N,,,,,
03/21,28/02/1961,Hombre,Estudios post-secundarios,N,N,S,S,Intento colocación,N,,,,,
03/21,15/03/1979,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
03/21,20/08/1978,Hombre,Estudios post-secundarios,N,N,S,N,Intento colocación,N,,,,,
03/21,15/11/1961,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
03/21,06/11/1974,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
03/21,18/09/1960,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
03/21,28/05/1974,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
03/21,28/05/1974,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
03/21,04/06/1966,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
03/21,01/01/1978,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
03/21,10/10/1970,Mujer,Estudios secundarios,N,N,N,S,Alta,N,,,,,
03/21,05/06/1987,Hombre,Estudios secundarios,S,S,N,S,Intento colocación,N,,,,,
03/21,17/02/1983,Hombre,Estudios secundarios,N,N,N,N,Alta,N,,,,,
03/21,17/02/1983,Hombre,Estudios secundarios,N,N,N,N,Intento colocación,N,,,,,
03/21,19/04/1970,Mujer,Estudios secundarios,S,N,N,S,Intento colocación,N,,,,,
03/21,06/05/1967,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
03/21,30/11/1972,Hombre,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
03/21,17/11/1982,Mujer,Estudios post-secundarios,N,N,S,S,Intento colocación,N,,,,,
03/21,05/05/1967,Hombre,Estudios primarios,N,N,N,S,Alta,N,,,,,
03/21,15/07/1969,Hombre,Estudios post-secundarios,S,N,N,S,Intento colocación,N,,,,,
03/21,20/08/1985,Hombre,Estudios secundarios,N,N,N,N,Intento colocación,N,,,,,
03/21,04/07/1983,Mujer,Estudios primarios,N,N,N,S,Alta,N,,,,,
03/21,04/04/1988,Hombre,Estudios secundarios,N,N,N,N,Intento colocación,N,,,,,
03/21,12/04/1979,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
03/21,20/09/1981,Hombre,Estudios secundarios,N,N,N,N,Alta,N,,,,,
03/21,12/02/1978,Hombre,Estudios post-secundarios,N,N,N,N,Intento colocación,N,,,,,
03/21,29/11/1972,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
03/21,26/04/1972,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
03/21,01/10/1963,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
03/21,21/06/1962,Mujer,Estudios secundarios,N,N,N,S,Alta,N,,,,,
03/21,12/02/1979,Mujer,Estudios secundarios,N,N,N,S,Alta,N,,,,,
03/21,30/04/1974,Hombre,Sin estudios,N,S,N,S,Alta,N,,,,,
03/21,09/08/1979,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
03/21,13/04/1966,Hombre,Estudios secundarios,N,N,N,S,Alta,N,,,,,
03/21,01/01/1968,Hombre,Estudios secundarios,N,S,N,S,Intento colocación,N,,,,,
03/21,07/04/1985,Mujer,Estudios primarios,N,N,N,S,Intento colocación,N,,,,,
03/21,16/11/1986,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
03/21,24/05/1965,Hombre,Estudios primarios,N,N,N,S,Alta,N,,,,,
03/21,28/02/1987,Hombre,Estudios secundarios,S,N,N,S,Intento colocación,N,,,,,
03/21,23/03/1970,Hombre,Estudios secundarios,N,N,S,S,Alta,N,,,,,
03/21,04/01/1975,Mujer,Estudios secundarios,N,N,N,S,Alta,N,,,,,
03/21,20/05/1978,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
03/21,12/06/1985,Mujer,Estudios post-secundarios,S,N,N,S,Intento colocación,N,,,,,
03/21,16/07/1957,Hombre,Estudios post-secundarios,S,N,N,S,Alta,N,,,,,
03/21,12/03/1974,Mujer,Estudios secundarios,N,N,N,S,Alta,N,,,,,
03/21,08/10/1974,Mujer,Estudios secundarios,N,N,N,S,Alta,N,,,,,
03/21,01/12/1976,Hombre,Estudios secundarios,N,N,N,N,Alta,N,,,,,
03/21,16/08/1988,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
03/21,20/07/1971,Hombre,Estudios post-secundarios,N,N,S,S,Intento colocación,N,,,,,
03/21,23/08/1977,Mujer,Estudios post-secundarios,N,N,S,S,Alta,N,,,,,
03/21,04/12/1974,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
03/21,13/04/1977,Mujer,Estudios secundarios,N,N,N,S,Alta,N,,,,,
03/21,15/02/1986,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
03/21,09/11/1972,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
03/21,19/06/1972,Mujer,Estudios post-secundarios,S,N,S,S,Intento colocación,N,,,,,
03/21,12/05/1984,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
03/21,02/05/1982,Hombre,Estudios secundarios,N,N,N,N,Alta,N,,,,,
03/21,25/06/1970,Mujer,Estudios primarios,N,N,N,S,Colocación,S,,,,,
03/21,21/07/1990,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
03/21,16/03/1965,Hombre,Estudios primarios,N,N,N,S,Alta,N,,,,,
03/21,07/03/1986,Mujer,Estudios post-secundarios,N,N,S,S,Intento colocación,N,,,,,
03/21,17/09/1957,Mujer,Estudios post-secundarios,N,N,S,S,Alta,N,,,,,
03/21,14/11/1962,Hombre,Estudios primarios,N,S,N,S,Alta,N,,,,,
03/21,10/03/1970,Hombre,Estudios primarios,N,N,N,S,Intento colocación,N,,,,,
03/21,14/11/1977,Hombre,Estudios primarios,N,N,N,N,Intento colocación,N,,,,,
03/21,17/04/1969,Hombre,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
03/21,08/12/1967,Hombre,Estudios primarios,N,N,N,S,Alta,N,,,,,
03/21,18/07/1991,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
03/21,03/08/1962,Hombre,Estudios secundarios,N,N,N,S,Colocación,S,,,,,
03/21,03/08/1962,Hombre,Estudios secundarios,N,N,N,S,Alta,N,,,,,
03/21,20/09/1977,Hombre,Estudios secundarios,N,N,N,N,Alta,N,,,,,
03/21,20/09/1977,Hombre,Estudios secundarios,N,N,N,N,Intento colocación,N,,,,,
03/21,06/02/1992,Hombre,Estudios secundarios,N,N,N,S,Alta,N,,,,,
03/21,11/03/1960,Hombre,Estudios post-secundarios,N,N,S,S,Colocación,S,,,,,
03/21,18/06/1972,Hombre,Estudios primarios,N,N,N,S,Intento colocación,N,,,,,
03/21,06/01/1982,Hombre,Estudios secundarios,N,N,N,N,Alta,N,,,,,
03/21,06/01/1982,Hombre,Estudios secundarios,N,N,N,N,Intento colocación,N,,,,,
03/21,22/01/1960,Hombre,Estudios primarios,N,N,N,S,Alta,N,,,,,
03/21,05/05/1989,Mujer,Estudios post-secundarios,N,N,S,S,Intento colocación,N,,,,,
03/21,05/10/1962,Hombre,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
03/21,25/01/1993,Hombre,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
03/21,26/02/1968,Hombre,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
03/21,24/02/1978,Hombre,Estudios secundarios,N,N,N,N,Colocación,S,,,,,
03/21,24/02/1978,Hombre,Estudios secundarios,N,N,N,N,Alta,N,,,,,
03/21,28/07/1972,Mujer,Estudios secundarios,N,N,N,S,Alta,N,,,,,
03/21,27/03/1965,Hombre,Estudios secundarios,N,N,N,S,Alta,N,,,,,
